"timestamp","phase","elapsed_sec","query_result","adapterIndex","workgraph_pid","CLK_GFXCLK_supported","CLK_GFXCLK","CLK_MEMCLK_supported","CLK_MEMCLK","CLK_SOCCLK_supported","CLK_SOCCLK","TEMP_EDGE_supported","TEMP_EDGE","TEMP_MEM_supported","TEMP_MEM","ACTIVITY_GFX_supported","ACTIVITY_GFX","ACTIVITY_MEM_supported","ACTIVITY_MEM","GFX_VOLTAGE_supported","GFX_VOLTAGE","ASIC_POWER_supported","ASIC_POWER","TEMP_HOTSPOT_supported","TEMP_HOTSPOT","TEMP_GFX_supported","TEMP_GFX","TEMP_SOC_supported","TEMP_SOC","GFX_POWER_supported","GFX_POWER","GFX_CURRENT_supported","GFX_CURRENT","THROTTLER_STATUS_supported","THROTTLER_STATUS","BUS_SPEED_supported","BUS_SPEED","BUS_LANES_supported","BUS_LANES","THROTTLE_POWER_supported","THROTTLE_POWER","THROTTLE_TDC_supported","THROTTLE_TDC","THROTTLE_VMAX_supported","THROTTLE_VMAX","BUS_CURR_MAX_SPEED_supported","BUS_CURR_MAX_SPEED","BOARD_POWER_supported","BOARD_POWER"
"2026-05-28T21:10:29.7891849+08:00","during_workgraph","3.713","0","5","32836","1","1478","1","166","0","0","1","36","1","40","1","38","1","4","1","705","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:29.8519888+08:00","during_workgraph","3.776","0","5","32836","1","1471","1","163","0","0","1","36","1","40","1","35","1","4","1","703","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:29.9159878+08:00","during_workgraph","3.84","0","5","32836","1","1473","1","156","0","0","1","36","1","38","1","35","1","3","1","705","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:29.9808089+08:00","during_workgraph","3.904","0","5","32836","1","1475","1","163","0","0","1","36","1","40","1","36","1","4","1","706","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:30.0428090+08:00","during_workgraph","3.967","0","5","32836","1","1484","1","169","0","0","1","36","1","40","1","40","1","4","1","709","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:30.1068108+08:00","during_workgraph","4.03","0","5","32836","1","1491","1","176","0","0","1","37","1","40","1","42","1","3","1","707","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","36"
"2026-05-28T21:10:30.1698102+08:00","during_workgraph","4.094","0","5","32836","1","1478","1","173","0","0","1","36","1","40","1","39","1","4","1","709","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:30.2337712+08:00","during_workgraph","4.157","0","5","32836","1","1482","1","166","0","0","1","36","1","40","1","37","1","4","1","706","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","32"
"2026-05-28T21:10:30.2967715+08:00","during_workgraph","4.22","0","5","32836","1","1480","1","168","0","0","1","36","1","40","1","37","1","4","1","704","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:30.3607708+08:00","during_workgraph","4.284","0","5","32836","1","1479","1","166","0","0","1","36","1","40","1","37","1","4","1","706","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
